graph,fastmap_dims,query_idx,source,target,fastmap_cost,dijkstra_cost,cost_diff,cost_ratio,is_violation,fastmap_expansions,dijkstra_expansions
NY,32,59,250396,164899,469023.0,397173.0,71850.0,1.1809035357388342,True,513,124002
NY,32,60,43585,64044,482877.0,375992.0,106885.0,1.2842746654184132,True,983,106572
NY,32,61,109556,2693,910370.0,705970.0,204400.0,1.2895307166026886,True,3799,235211
NY,32,62,243307,200235,421036.0,403133.0,17903.0,1.0444096613276512,True,1536,72289
NY,32,63,25939,152906,587325.0,521280.0,66045.0,1.126697744014733,True,2003,212684
NY,32,64,18047,75766,799888.0,671560.0,128328.0,1.191089403776282,True,3928,246198
NY,32,65,44262,161152,939613.0,737182.0,202431.0,1.2746011161422823,True,17351,246527
NY,32,66,128376,137848,590983.0,511134.0,79849.0,1.1562193084396655,True,4235,153064
NY,32,67,92787,127948,287672.0,248456.0,39216.0,1.1578388125060373,True,197,42808
NY,32,68,55016,21959,251531.0,231566.0,19965.0,1.0862173203320005,True,380,71325
NY,32,69,136602,225928,610252.0,536814.0,73438.0,1.1368034365720716,True,12765,211094
NY,32,70,228576,13545,306296.0,266008.0,40288.0,1.1514540916062674,True,567,38208
NY,32,71,165838,61087,994579.0,750781.0,243798.0,1.3247258521459653,True,8152,226464
NY,32,72,68840,118451,285390.0,203532.0,81858.0,1.4021873710276516,True,527,36809
NY,32,73,39353,193075,639591.0,519865.0,119726.0,1.2303020976599695,True,5296,184494
NY,32,74,214283,65318,885126.0,718328.0,166798.0,1.232203116125224,True,3971,227242
NY,32,75,241025,67172,1158852.0,988366.0,170486.0,1.1724927810143206,True,18482,230072
NY,32,76,216688,256951,777208.0,602037.0,175171.0,1.290963844414878,True,11416,220292
NY,32,77,93264,246458,755178.0,597697.0,157481.0,1.2634796560799202,True,5065,168874
NY,32,78,225281,112859,399490.0,319920.0,79570.0,1.2487184296074019,True,1836,44441
NY,32,79,257426,177789,623732.0,496228.0,127504.0,1.256946403669281,True,5729,149150
NY,32,80,218164,125657,349851.0,261602.0,88249.0,1.337340693113967,True,625,48555
NY,32,81,235167,157381,946507.0,832298.0,114209.0,1.1372212837228974,True,3689,232400
NY,32,82,194806,70467,630874.0,390877.0,239997.0,1.613996218759354,True,7580,161290
NY,32,83,183734,98506,880449.0,735227.0,145222.0,1.1975199496210014,True,10730,212661
NY,32,84,109751,168229,688900.0,608567.0,80333.0,1.1320035427487853,True,2067,211939
NY,32,85,106081,89045,1011536.0,866216.0,145320.0,1.1677641604403521,True,4218,247695
NY,32,86,34698,110078,283834.0,223861.0,59973.0,1.2679028504295076,True,677,36071
NY,32,87,22671,86202,906797.0,764474.0,142323.0,1.1861711451272379,True,10320,257715
NY,32,88,51663,15708,307239.0,199034.0,108205.0,1.5436508335259302,True,1276,47834
NY,32,89,133883,112547,452367.0,343251.0,109116.0,1.3178898240646058,True,3816,111209
NY,32,90,34754,226814,319157.0,243971.0,75186.0,1.3081759717343455,True,585,49224
NY,32,91,237714,142483,637731.0,576185.0,61546.0,1.106816387097894,True,4175,117197
NY,32,92,133983,214835,210100.0,179489.0,30611.0,1.170545270183688,True,2172,28840
NY,32,93,84896,71295,286948.0,233806.0,53142.0,1.2272910019417809,True,801,23442
NY,32,94,219686,132874,465601.0,428876.0,36725.0,1.0856308117031497,True,2489,135851
NY,32,95,8155,47254,558779.0,420330.0,138449.0,1.3293816763019533,True,4806,112263
NY,32,96,85981,30306,1067093.0,908983.0,158110.0,1.1739416468734838,True,2297,190789
NY,32,97,147718,120975,351231.0,288364.0,62867.0,1.2180126506776159,True,815,61038
NY,32,98,107512,147443,544583.0,484252.0,60331.0,1.124585959376523,True,1108,154670
NY,32,99,133121,162688,322457.0,274514.0,47943.0,1.1746468303984496,True,901,76380
NY,64,0,121958,146867,656905.0,543151.0,113754.0,1.2094334724597764,True,2785,144772
NY,64,1,131932,259178,1004592.0,893194.0,111398.0,1.1247187061265527,True,28900,259938
NY,64,2,119879,110268,501201.0,374163.0,127038.0,1.3395258216338868,True,1656,76138
NY,64,3,207892,54886,357414.0,254214.0,103200.0,1.405957185678208,True,1467,68062
NY,64,4,137337,87498,925341.0,793785.0,131556.0,1.1657325346283944,True,8181,247332
