graph,query_idx,source,target,hit_expansions,alt_expansions,hit_p50_ms,alt_p50_ms
FLA,11,654811,527035,22858,12580,260.913569945842,302.7725680731237
FLA,12,648143,65725,327461,216909,1406.7553400527686,1755.0533689791337
FLA,13,84654,953277,115986,129664,606.8060969701037,1203.8041800260544
FLA,14,591723,319030,10069,10098,174.24809199292213,228.13365003094077
FLA,15,555839,273538,288233,161003,1268.6557159759104,1398.053316050209
FLA,16,331236,528178,169582,28550,748.0886740377173,410.8884009765461
FLA,17,565894,489492,85481,84834,548.6820939695463,879.5970720238984
FLA,18,473254,349457,74886,43471,505.11545699555427,573.9212379558012
FLA,19,665987,698361,5855,3889,155.3342529805377,179.3456379091367
FLA,20,68148,648531,35950,35649,370.8787380019203,480.5748190265149
FLA,21,906606,678843,141898,80057,738.6942500015721,833.8627459015697
FLA,22,572843,256508,157515,143829,844.7570360731333,1359.2299559386447
FLA,23,803591,896942,216260,126426,971.1335779866204,1064.1593139152974
FLA,24,106530,604365,8532,11168,167.64749505091459,239.3297100206837
FLA,25,460337,805889,16568,15626,248.2490319525823,270.1994270319119
FLA,26,208261,271836,33780,10480,345.69241607096046,223.96593808662146
FLA,27,989913,202283,111707,75562,533.8943409733474,732.3148460127413
FLA,28,196769,561353,132952,131010,701.1455009924248,1172.3789010429755
FLA,29,1046797,950110,32913,31652,258.2618009764701,385.93693205621094
FLA,30,487879,564685,96375,87381,577.5879709981382,874.610182014294
FLA,31,782038,1007293,220493,103892,908.6375200422481,891.4600799325854
FLA,32,579879,23247,277151,220036,1274.399672052823,1858.4637079620734
FLA,33,607086,533556,51388,36224,428.61684295348823,476.97515902109444
FLA,34,742139,432315,11029,26848,173.57170803006738,337.24630100186914
FLA,35,926075,516588,1930,1972,143.39112001471221,169.0190020017326
FLA,36,978732,48984,280707,128059,1249.1646979469806,1149.1614560363814
FLA,37,302918,264712,178275,127432,880.4553659865633,1096.9478479819372
FLA,38,133767,648663,19542,19339,267.37150992266834,364.3307579914108
FLA,39,136330,480754,21594,87008,284.0673449682072,908.3212889963761
FLA,40,13986,586146,108812,117504,629.5039569959044,1092.46836300008
FLA,41,12666,134633,187336,97453,867.5962929846719,946.8430109554902
FLA,42,288998,850937,64886,32601,485.1164900464937,444.91289206780493
FLA,43,628776,996107,198960,62877,938.6820060899481,713.0025150254369
FLA,44,838688,351279,5866,6223,160.00527702271938,197.55509996321052
FLA,45,913910,489570,6667,7009,164.4082850543782,211.33899700362235
FLA,46,24538,894498,61162,74182,417.59576299227774,752.0096639636904
FLA,47,201664,491234,42530,4419,282.25414000917226,187.39873601589352
FLA,48,139182,184064,42746,23813,291.3333559408784,382.5525640277192
FLA,49,214020,1039577,16014,24865,195.2609410509467,329.6216500457376
FLA,50,623094,897421,168657,17667,835.9244460007176,425.8014439838007
FLA,51,615270,917710,56449,55426,460.25076194200665,691.7572799138725
FLA,52,218969,122409,72207,96963,473.52074598893523,970.2120629372075
FLA,53,253618,769598,3160,48440,153.9318459108472,566.9151269830763
FLA,54,772838,874371,90767,22898,507.1652350015938,426.0545299621299
FLA,55,735716,973548,68444,151405,438.61231696791947,1360.1861030329019
FLA,56,773290,999238,118375,44078,551.8368269549683,458.44559895340353
FLA,57,861882,379989,28180,15266,237.77730099391192,259.0257510310039
