graph,method,K0,m,num_landmarks_or_dims,bytes_per_vertex,mean_expansions,expansion_reduction_pct,preprocess_sec,mean_query_latency_ms,peak_memory_mb,admissibility_violations,num_nodes,num_edges,seed
berlin,AAC,16,8,8,32,2164.4,84.60336813770752,75.00937081500888,20.70069654204417,1060.5703125,0,28397,72857,789
berlin,AAC,32,8,8,32,1937.3,86.21886208333986,68.24321280099684,35.691082936828025,1060.5703125,0,28397,72857,789
berlin,AAC,32,16,16,64,1329.19,90.54470102335958,73.30328782001743,24.41157543973532,1060.5703125,0,28397,72857,789
berlin,AAC,64,16,16,64,1457.45,89.6323132934309,78.19021631905343,26.986342826858163,1060.5703125,0,28397,72857,789
berlin,AAC,64,32,32,128,786.04,94.40844182727945,81.03720845398493,16.044951518415473,1060.5703125,0,28397,72857,789
berlin,ALT,0,0,4,32,1903.12,86.46200423684806,0.7352090750355273,17.096785638132133,1060.5703125,0,28397,72857,1024
berlin,ALT,0,0,8,64,1016.97,92.76570287146755,0.6019903100095689,21.38639848330058,1060.5703125,0,28397,72857,1024
berlin,ALT,0,0,16,128,683.02,95.1412828060511,0.8625509760458954,7.90860420500394,1060.5703125,0,28397,72857,1024
berlin,ALT,0,0,32,256,520.8,96.29524770195808,0.7179176229983568,7.220954166841693,1060.5703125,0,28397,72857,1024
berlin,AAC,16,8,8,32,2579.51,81.65045007618643,71.21266063500661,42.47506191546563,1060.5703125,0,28397,72857,1024
berlin,AAC,32,8,8,32,2884.91,79.47796284150517,73.59081917000003,38.8156144216191,1060.5703125,0,28397,72857,1024
berlin,AAC,32,16,16,64,1113.9,92.07618359295527,74.21414007199928,12.924226548639126,1060.5703125,0,28397,72857,1024
berlin,AAC,64,16,16,64,1598.3,88.63036559531415,86.47805013100151,28.30963123764377,1060.5703125,0,28397,72857,1024
berlin,AAC,64,32,32,128,904.1,93.56861261010044,80.28482582198922,19.958512887824327,1060.5703125,0,28397,72857,1024
los_angeles,ALT,0,0,4,32,3694.89,85.4149865770461,1.0480266149970705,69.58561518869828,1060.5703125,0,49631,135546,42
los_angeles,ALT,0,0,8,64,2251.25,91.11353478224656,1.1918482630280778,27.69830011588056,1060.5703125,0,49631,135546,42
los_angeles,ALT,0,0,16,128,1468.52,94.20324179830082,0.988676690030843,34.680540410918184,1060.5703125,0,49631,135546,42
los_angeles,ALT,0,0,32,256,1185.72,95.31955156557709,1.6955560560454614,18.669509672909044,1067.13671875,0,49631,135546,42
los_angeles,AAC,16,8,8,32,3737.77,85.24572433227662,80.03882851701928,45.89506860880647,1067.13671875,0,49631,135546,42
los_angeles,AAC,32,8,8,32,3959.59,84.37012379275323,75.65783636597916,57.917889659293,1067.13671875,0,49631,135546,42
los_angeles,AAC,32,16,16,64,2961.36,88.31048411449359,79.3643159600324,33.83871647645719,1069.984375,0,49631,135546,42
los_angeles,AAC,64,16,16,64,3414.82,86.52052008666796,90.45620751101524,37.70795523771085,1115.5,0,49631,135546,42
los_angeles,AAC,64,32,32,128,2442.21,90.35974937503627,83.23499008599902,51.0254757583607,1139.6875,0,49631,135546,42
los_angeles,ALT,0,0,4,32,3694.89,85.4149865770461,1.0686225360259414,48.055136539042,1139.6875,0,49631,135546,123
los_angeles,ALT,0,0,8,64,2251.25,91.11353478224656,1.014444245956838,46.4162301691249,1139.6875,0,49631,135546,123
los_angeles,ALT,0,0,16,128,1468.52,94.20324179830082,1.4502924749976955,34.93972500087693,1139.6875,0,49631,135546,123
los_angeles,ALT,0,0,32,256,1185.72,95.31955156557709,1.6784042729996145,32.228882848867215,1139.6875,0,49631,135546,123
los_angeles,AAC,16,8,8,32,4975.41,80.3603296350638,73.19818993000081,96.88492573041005,1139.6875,0,49631,135546,123
los_angeles,AAC,32,8,8,32,6351.34,74.9290563037752,76.14844030304812,111.52760666736869,1139.6875,0,49631,135546,123
los_angeles,AAC,32,16,16,64,3920.68,84.52371506943186,79.29473855200922,77.38244024221785,1139.6875,0,49631,135546,123
los_angeles,AAC,64,16,16,64,3222.4,87.28006862068244,90.50978512398432,51.993489881861024,1139.6875,0,49631,135546,123
los_angeles,AAC,64,32,32,128,2238.41,91.16421871934638,87.02291719795903,51.35320695932023,1139.6875,0,49631,135546,123
los_angeles,ALT,0,0,4,32,3694.89,85.4149865770461,1.1054338670219297,44.44220338773448,1139.6875,0,49631,135546,456
los_angeles,ALT,0,0,8,64,2251.25,91.11353478224656,1.2181825249572285,48.19693151512183,1139.6875,0,49631,135546,456
los_angeles,ALT,0,0,16,128,1468.52,94.20324179830082,1.240439424989745,27.611227111774497,1139.6875,0,49631,135546,456
los_angeles,ALT,0,0,32,256,1185.72,95.31955156557709,1.7154418230056765,33.90207794960588,1139.6875,0,49631,135546,456
los_angeles,AAC,16,8,8,32,5828.22,76.99399253240871,76.19727164099459,79.18374670727644,1139.6875,0,49631,135546,456
los_angeles,AAC,32,8,8,32,4936.79,80.51277618107586,78.82281894801417,53.66712209943216,1139.6875,0,49631,135546,456
los_angeles,AAC,32,16,16,64,3421.48,86.49423075480777,76.45798402203945,53.9169157797005,1139.6875,0,49631,135546,456
los_angeles,AAC,64,16,16,64,3221.73,87.28271334325697,87.78866372501943,63.837686492479406,1139.6875,0,49631,135546,456
los_angeles,AAC,64,32,32,128,1944.89,92.322844047815,84.51007186004426,41.04819412226789,1139.6875,0,49631,135546,456
los_angeles,ALT,0,0,4,32,3694.89,85.4149865770461,0.9588550869957544,68.21422085282393,1139.6875,0,49631,135546,789
los_angeles,ALT,0,0,8,64,2251.25,91.11353478224656,1.0638093090383336,45.479306879569776,1139.6875,0,49631,135546,789
los_angeles,ALT,0,0,16,128,1468.52,94.20324179830082,1.2763747839489952,36.77012080268469,1139.6875,0,49631,135546,789
los_angeles,ALT,0,0,32,256,1185.72,95.31955156557709,1.6407145410194062,32.34712828998454,1139.6875,0,49631,135546,789
los_angeles,AAC,16,8,8,32,4944.13,80.4838026531699,71.03190152399475,93.57155652076472,1139.6875,0,49631,135546,789
los_angeles,AAC,32,8,8,32,5445.88,78.5032212326223,71.13079715397907,95.52193870942574,1139.6875,0,49631,135546,789
los_angeles,AAC,32,16,16,64,3034.18,88.02303829676708,77.95469791797223,33.689266203437,1139.6875,0,49631,135546,789
los_angeles,AAC,64,16,16,64,3627.85,85.67961672838345,85.85003477300052,43.007374861626886,1139.6875,0,49631,135546,789
los_angeles,AAC,64,32,32,128,1670.86,93.40453558079489,24.915433163987476,24.41887181950733,1139.6875,0,49631,135546,789
los_angeles,ALT,0,0,4,32,3694.89,85.4149865770461,0.4440038939937949,38.93423267290928,1139.6875,0,49631,135546,1024
los_angeles,ALT,0,0,8,64,2251.25,91.11353478224656,0.4571862950106151,27.697599457460456,1139.6875,0,49631,135546,1024
los_angeles,ALT,0,0,16,128,1468.52,94.20324179830082,0.5957335869898088,21.778226050082598,1139.6875,0,49631,135546,1024
los_angeles,ALT,0,0,32,256,1185.72,95.31955156557709,0.837984551966656,19.32413630420342,1139.6875,0,49631,135546,1024
los_angeles,AAC,16,8,8,32,6936.77,72.61816087571107,30.48705523496028,68.51340943947434,1139.6875,0,49631,135546,1024
los_angeles,AAC,32,8,8,32,5512.86,78.23882792211253,27.800964850990567,55.81741618225351,1139.6875,0,49631,135546,1024
los_angeles,AAC,32,16,16,64,2516.16,90.06784305505721,35.301012322015595,31.593546857475303,1139.6875,0,49631,135546,1024
los_angeles,AAC,64,16,16,64,3044.86,87.98088062945976,37.8989318870008,36.54941213899292,1139.6875,0,49631,135546,1024
los_angeles,AAC,64,32,32,128,1663.87,93.43212753720672,35.54031938803382,24.06305850017816,1143.3671875,0,49631,135546,1024
netherlands,ALT,0,0,4,32,315409.98,86.89290737527767,6.635899730026722,1302.2329667641316,2648.1875,0,4531152,8634916,42
netherlands,ALT,0,0,8,64,210575.62,91.24937595237688,12.995944474008866,913.205198822543,2648.1875,0,4531152,8634916,42
netherlands,ALT,0,0,16,128,140342.65,94.16795843698736,25.23284174199216,644.6234028518666,3680.81640625,0,4531152,8634916,42
netherlands,ALT,0,0,32,256,99391.21,95.8697255059804,50.13999339193106,495.3875194664579,5892.90625,0,4531152,8634916,42
netherlands,AAC,16,8,8,32,441493.62,81.65340941157295,32.61268648097757,3373.121632927796,5892.90625,0,4531152,8634916,42
netherlands,AAC,32,8,8,32,633595.95,73.67045645385433,72.27113202796318,5800.607763889711,7949.1953125,0,4531152,8634916,42
netherlands,AAC,32,16,16,64,307970.5,87.20206041298361,88.76689390500542,2574.571117926389,9058.28125,0,4531152,8634916,42
netherlands,AAC,64,16,16,64,332064.44,86.20081909755503,118.39776217599864,2519.918597054202,11552.69140625,0,4531152,8634916,42
netherlands,AAC,64,32,32,128,180460.47,92.5008330573721,124.73104623402467,1519.4199652795214,13765.16015625,0,4531152,8634916,42
netherlands,ALT,0,0,4,32,315409.98,86.89290737527767,6.70265902695246,1372.2838232503273,13765.16015625,0,4531152,8634916,123
netherlands,ALT,0,0,8,64,210575.62,91.24937595237688,13.90997210610658,932.0580056635664,13765.16015625,0,4531152,8634916,123
netherlands,ALT,0,0,16,128,140342.65,94.16795843698736,28.047108454979025,742.9333840997424,13765.16015625,0,4531152,8634916,123
netherlands,ALT,0,0,32,256,99391.21,95.8697255059804,49.5200065029785,493.2817285018973,13765.16015625,0,4531152,8634916,123
netherlands,AAC,16,8,8,32,486372.02,79.78845464492498,30.214098582044244,3637.477675550617,13765.16015625,0,4531152,8634916,123
netherlands,AAC,32,8,8,32,633730.34,73.66487177901988,56.73632407910191,4769.820680123521,13765.16015625,0,4531152,8634916,123
netherlands,AAC,32,16,16,64,292705.42,87.8364119876668,59.60734707303345,2225.18090188154,13765.16015625,0,4531152,8634916,123
netherlands,AAC,64,16,16,64,318929.85,86.74663660059583,108.64669663400856,2649.5786336041056,13765.16015625,0,4531152,8634916,123
netherlands,AAC,64,32,32,128,232889.8,90.32209386667772,111.63353648409247,1805.4895981552545,13765.46484375,0,4531152,8634916,123
netherlands,ALT,0,0,4,32,315409.98,86.89290737527767,6.743386346031912,1298.0190800596029,13765.46484375,0,4531152,8634916,456
netherlands,ALT,0,0,8,64,210575.62,91.24937595237688,12.282576148048976,912.384981213836,13765.46484375,0,4531152,8634916,456
netherlands,ALT,0,0,16,128,140342.65,94.16795843698736,26.05684748396743,652.2739873011597,13765.46484375,0,4531152,8634916,456
netherlands,ALT,0,0,32,256,99391.21,95.8697255059804,51.30997840699274,497.2347888862714,13765.46484375,0,4531152,8634916,456
netherlands,AAC,16,8,8,32,521700.2,78.32036626191675,29.315376511076465,3945.735425463645,13765.46484375,0,4531152,8634916,456
netherlands,AAC,32,8,8,32,794267.33,66.99363963340382,55.940162656013854,6009.558276266325,13765.46484375,0,4531152,8634916,456
netherlands,AAC,32,16,16,64,312759.18,87.00306330987941,59.01198079797905,2379.3432677863166,13765.46484375,0,4531152,8634916,456
netherlands,AAC,64,16,16,64,298384.01,87.60043402302593,116.26650138699917,2293.404117169557,13765.46484375,0,4531152,8634916,456
netherlands,AAC,64,32,32,128,170968.95,92.89526011953863,112.0148596339859,1356.1431430408263,13766.3046875,0,4531152,8634916,456
